ENSMUST00000070533.5	Xkr4-201	ENSMUSG00000051951
ENSMUST00000067043.5	Zbtb26-201	ENSMUSG00000050714
ENSMUST00000102789.3	Zbtb26-202	ENSMUSG00000050714
ENSMUST00000133434.8	Rabgap1-205	ENSMUSG00000035437
ENSMUST00000061179.12	Rabgap1-201	ENSMUSG00000035437
ENSMUST00000148470.8	Rabgap1-206	ENSMUSG00000035437
ENSMUST00000066055.10	Rabgap1-202	ENSMUSG00000035437
ENSMUST00000112920.2	Rabgap1-203	ENSMUSG00000035437
ENSMUST00000183690.8	Strbp-207	ENSMUSG00000026915
ENSMUST00000028279.10	Strbp-201	ENSMUSG00000026915
ENSMUST00000204569.2	Strbp-209	ENSMUSG00000026915
ENSMUST00000072186.12	Strbp-202	ENSMUSG00000026915
ENSMUST00000145808.8	Strbp-205	ENSMUSG00000026915
ENSMUST00000155237.2	Strbp-206	ENSMUSG00000026915
ENSMUST00000065441.7	Gpr21-201	ENSMUSG00000053164
ENSMUST00000050372.10	Crb2-201	ENSMUSG00000035403
ENSMUST00000147600.3	Crb2-203	ENSMUSG00000035403
ENSMUST00000102787.10	Dennd1a-201	ENSMUSG00000035392
ENSMUST00000136460.2	Dennd1a-206	ENSMUSG00000035392
ENSMUST00000140552.8	Dennd1a-207	ENSMUSG00000035392
ENSMUST00000150896.8	Dennd1a-210	ENSMUSG00000035392
ENSMUST00000130472.8	Dennd1a-204	ENSMUSG00000035392
ENSMUST00000143095.8	Dennd1a-209	ENSMUSG00000035392
ENSMUST00000142813.2	Dennd1a-208	ENSMUSG00000035392
ENSMUST00000143783.9	Lhx2-203	ENSMUSG00000000247
ENSMUST00000133661.8	Lhx2-202	ENSMUSG00000000247
ENSMUST00000000253.6	Lhx2-201	ENSMUSG00000000247
ENSMUST00000176229.2	Lhx2-207	ENSMUSG00000000247
ENSMUST00000155964.3	Lhx2-205	ENSMUSG00000000247
ENSMUST00000054234.10	Nek6-201	ENSMUSG00000026749
ENSMUST00000112902.8	Nek6-203	ENSMUSG00000026749
ENSMUST00000112895.8	Nek6-202	ENSMUSG00000026749
ENSMUST00000151683.8	Nek6-204	ENSMUSG00000026749
ENSMUST00000156726.2	Nek6-205	ENSMUSG00000026749
ENSMUST00000028083.6	Psmb7-201	ENSMUSG00000026750
ENSMUST00000112883.8	Nr5a1-202	ENSMUSG00000026751
ENSMUST00000028084.5	Nr5a1-201	ENSMUSG00000026751
ENSMUST00000112877.8	Nr6a1-202	ENSMUSG00000063972
ENSMUST00000168098.8	Nr6a1-210	ENSMUSG00000063972
ENSMUST00000076275.11	Nr6a1-201	ENSMUSG00000063972
ENSMUST00000142113.8	Nr6a1-207	ENSMUSG00000063972
ENSMUST00000142130.2	Nr6a1-208	ENSMUSG00000063972
ENSMUST00000057279.6	Olfml2a-201	ENSMUSG00000046618
ENSMUST00000039535.9	Wdr38-201	ENSMUSG00000035295
ENSMUST00000112872.2	Wdr38-202	ENSMUSG00000035295
ENSMUST00000080861.6	Rpl35-201	ENSMUSG00000062997
ENSMUST00000112862.7	Arpc5l-202	ENSMUSG00000026755
ENSMUST00000090993.8	Arpc5l-201	ENSMUSG00000026755
ENSMUST00000039165.15	Golga1-201	ENSMUSG00000026754
ENSMUST00000112850.9	Golga1-202	ENSMUSG00000026754
ENSMUST00000153914.8	Golga1-208	ENSMUSG00000026754
ENSMUST00000184996.8	Golga1-210	ENSMUSG00000026754
ENSMUST00000154210.3	Golga1-209	ENSMUSG00000026754
ENSMUST00000149810.7	Golga1-206	ENSMUSG00000026754
ENSMUST00000038874.12	Scai-201	ENSMUSG00000035236
ENSMUST00000204404.3	Scai-209	ENSMUSG00000035236
ENSMUST00000204093.3	Scai-208	ENSMUSG00000035236
ENSMUST00000204500.3	Scai-210	ENSMUSG00000035236
ENSMUST00000147433.8	Scai-204	ENSMUSG00000035236
ENSMUST00000142872.2	Scai-203	ENSMUSG00000035236
ENSMUST00000028087.6	Ppp6c-201	ENSMUSG00000026753
ENSMUST00000204257.3	Ppp6c-203	ENSMUSG00000026753
ENSMUST00000204701.3	Ppp6c-205	ENSMUSG00000026753
ENSMUST00000204368.2	Ppp6c-204	ENSMUSG00000026753
ENSMUST00000052550.13	Lrp1b-201	ENSMUSG00000049252
ENSMUST00000185258.4	Lrp1b-209	ENSMUSG00000049252
ENSMUST00000142546.8	Lrp1b-206	ENSMUSG00000049252
ENSMUST00000203015.2	Lrp1b-210	ENSMUSG00000049252
ENSMUST00000167270.5	Lrp1b-208	ENSMUSG00000049252
ENSMUST00000203080.3	Lrp1b-211	ENSMUSG00000049252
ENSMUST00000204204.2	Lrp1b-212	ENSMUSG00000049252
ENSMUST00000142688.2	Lrp1b-207	ENSMUSG00000049252
ENSMUST00000240759.1	Kynu-207	ENSMUSG00000026866
ENSMUST00000028223.10	Kynu-201	ENSMUSG00000026866
ENSMUST00000112826.8	Kynu-203	ENSMUSG00000026866
ENSMUST00000050511.7	Kynu-202	ENSMUSG00000026866
ENSMUST00000112824.8	Arhgap15-203	ENSMUSG00000049744
ENSMUST00000112822.8	Arhgap15-202	ENSMUSG00000049744
ENSMUST00000055776.8	Arhgap15-201	ENSMUSG00000049744
ENSMUST00000112810.8	Gtdc1-203	ENSMUSG00000036890
ENSMUST00000049051.13	Gtdc1-201	ENSMUSG00000036890
ENSMUST00000130991.8	Gtdc1-205	ENSMUSG00000036890
ENSMUST00000146694.8	Gtdc1-210	ENSMUSG00000036890
ENSMUST00000148279.8	Gtdc1-211	ENSMUSG00000036890
ENSMUST00000154744.8	Gtdc1-213	ENSMUSG00000036890
ENSMUST00000100127.9	Gtdc1-202	ENSMUSG00000036890
ENSMUST00000176438.9	Zeb2-212	ENSMUSG00000026872
ENSMUST00000176732.8	Zeb2-213	ENSMUSG00000026872
ENSMUST00000028229.13	Zeb2-201	ENSMUSG00000026872
ENSMUST00000068415.11	Zeb2-202	ENSMUSG00000026872
ENSMUST00000200844.4	Zeb2-215	ENSMUSG00000026872
ENSMUST00000177302.8	Zeb2-214	ENSMUSG00000026872
ENSMUST00000076836.13	Zeb2-203	ENSMUSG00000026872
ENSMUST00000201804.4	Zeb2-221	ENSMUSG00000026872
ENSMUST00000201623.4	Zeb2-220	ENSMUSG00000026872
ENSMUST00000202432.4	Zeb2-227	ENSMUSG00000026872
ENSMUST00000201211.4	Zeb2-216	ENSMUSG00000026872
ENSMUST00000201969.4	Zeb2-222	ENSMUSG00000026872
ENSMUST00000202935.4	Zeb2-228	ENSMUSG00000026872
ENSMUST00000202187.4	Zeb2-224	ENSMUSG00000026872
ENSMUST00000127520.8	Zeb2-207	ENSMUSG00000026872
ENSMUST00000201490.2	Zeb2-219	ENSMUSG00000026872
ENSMUST00000153561.6	Zeb2-211	ENSMUSG00000026872
ENSMUST00000063886.4	Acvr2a-201	ENSMUSG00000052155
ENSMUST00000028098.11	Orc4-201	ENSMUSG00000026761
ENSMUST00000142851.8	Orc4-208	ENSMUSG00000026761
ENSMUST00000090976.10	Orc4-202	ENSMUSG00000026761
ENSMUST00000149679.8	Orc4-209	ENSMUSG00000026761
ENSMUST00000123271.2	Orc4-203	ENSMUSG00000026761
ENSMUST00000112745.8	Mbd5-202	ENSMUSG00000036792
ENSMUST00000112754.8	Mbd5-203	ENSMUSG00000036792
ENSMUST00000047413.10	Mbd5-201	ENSMUSG00000036792
ENSMUST00000199257.2	Mbd5-215	ENSMUSG00000036792
ENSMUST00000122841.8	Mbd5-204	ENSMUSG00000036792
ENSMUST00000132717.6	Mbd5-206	ENSMUSG00000036792
ENSMUST00000196045.2	Mbd5-212	ENSMUSG00000036792
ENSMUST00000197712.2	Mbd5-214	ENSMUSG00000036792
ENSMUST00000196831.2	Mbd5-213	ENSMUSG00000036792
ENSMUST00000092123.11	Epc2-201	ENSMUSG00000069495
ENSMUST00000152485.2	Epc2-202	ENSMUSG00000069495
ENSMUST00000028102.14	Kif5c-201	ENSMUSG00000026764
ENSMUST00000146247.2	Kif5c-205	ENSMUSG00000026764
ENSMUST00000028103.13	Lypd6b-201	ENSMUSG00000026765
ENSMUST00000112712.10	Lypd6-202	ENSMUSG00000050447
ENSMUST00000128451.8	Lypd6-204	ENSMUSG00000050447
ENSMUST00000053208.14	Lypd6-201	ENSMUSG00000050447
ENSMUST00000169232.2	Lypd6-205	ENSMUSG00000050447
ENSMUST00000126337.2	Lypd6-203	ENSMUSG00000050447
ENSMUST00000102769.11	Mmadhc-201	ENSMUSG00000026766
ENSMUST00000144143.8	Mmadhc-205	ENSMUSG00000026766
ENSMUST00000133768.2	Mmadhc-202	ENSMUSG00000026766
ENSMUST00000017288.9	Rnd3-201	ENSMUSG00000017144
ENSMUST00000154545.2	Rnd3-203	ENSMUSG00000017144
ENSMUST00000070028.3	Tas2r134-201	ENSMUSG00000056115
ENSMUST00000102767.8	Rbm43-201	ENSMUSG00000036249
ENSMUST00000102768.8	Rbm43-202	ENSMUSG00000036249
ENSMUST00000165313.2	Rbm43-206	ENSMUSG00000036249
ENSMUST00000028314.9	Nmi-201	ENSMUSG00000026946
ENSMUST00000145481.8	Nmi-205	ENSMUSG00000026946
ENSMUST00000112705.9	Nmi-202	ENSMUSG00000026946
ENSMUST00000142868.2	Nmi-204	ENSMUSG00000026946
ENSMUST00000145656.2	Nmi-206	ENSMUSG00000026946
ENSMUST00000065927.6	Tnfaip6-201	ENSMUSG00000053475
ENSMUST00000112693.10	Rif1-201	ENSMUSG00000036202
ENSMUST00000126218.3	Rif1-205	ENSMUSG00000036202
ENSMUST00000125322.8	Rif1-203	ENSMUSG00000036202
ENSMUST00000125376.8	Rif1-204	ENSMUSG00000036202
ENSMUST00000152178.2	Rif1-207	ENSMUSG00000036202
ENSMUST00000036934.12	Neb-202	ENSMUSG00000026950
ENSMUST00000028320.14	Neb-201	ENSMUSG00000026950
ENSMUST00000075301.10	Neb-203	ENSMUSG00000026950
ENSMUST00000238288.2	Neb-213	ENSMUSG00000026950
ENSMUST00000238749.2	Neb-214	ENSMUSG00000026950
ENSMUST00000135200.2	Neb-205	ENSMUSG00000026950
ENSMUST00000148356.3	Neb-209	ENSMUSG00000026950
ENSMUST00000139672.2	Neb-208	ENSMUSG00000026950
ENSMUST00000210179.2	Neb-212	ENSMUSG00000026950
ENSMUST00000209712.2	Neb-211	ENSMUSG00000026950
ENSMUST00000036541.8	Arl5a-201	ENSMUSG00000036093
ENSMUST00000178799.8	Cacnb4-206	ENSMUSG00000017412
ENSMUST00000102760.10	Cacnb4-202	ENSMUSG00000017412
ENSMUST00000102761.9	Cacnb4-203	ENSMUSG00000017412
ENSMUST00000078324.7	Cacnb4-201	ENSMUSG00000017412
ENSMUST00000102759.8	Stam2-201	ENSMUSG00000055371
ENSMUST00000127316.8	Stam2-202	ENSMUSG00000055371
ENSMUST00000155516.2	Stam2-205	ENSMUSG00000055371
ENSMUST00000138290.2	Stam2-203	ENSMUSG00000055371
ENSMUST00000155586.9	Fmnl2-205	ENSMUSG00000036053
ENSMUST00000090952.11	Fmnl2-203	ENSMUSG00000036053
ENSMUST00000127122.9	Fmnl2-204	ENSMUSG00000036053
ENSMUST00000049483.14	Fmnl2-201	ENSMUSG00000036053
ENSMUST00000050719.13	Fmnl2-202	ENSMUSG00000036053
ENSMUST00000076313.14	Prpf40a-201	ENSMUSG00000061136
ENSMUST00000210789.3	Prpf40a-208	ENSMUSG00000061136
ENSMUST00000239398.2	Prpf40a-211	ENSMUSG00000061136
ENSMUST00000209364.3	Prpf40a-206	ENSMUSG00000061136
ENSMUST00000211712.3	Prpf40a-210	ENSMUSG00000061136
ENSMUST00000125243.3	Prpf40a-202	ENSMUSG00000061136
ENSMUST00000211102.2	Prpf40a-209	ENSMUSG00000061136
ENSMUST00000209508.3	Prpf40a-207	ENSMUSG00000061136
ENSMUST00000028336.7	Arl6ip6-201	ENSMUSG00000026960
ENSMUST00000100089.3	Rprm-201	ENSMUSG00000075334
ENSMUST00000112636.8	Galnt13-204	ENSMUSG00000060988
ENSMUST00000112635.8	Galnt13-203	ENSMUSG00000060988
ENSMUST00000112634.8	Galnt13-202	ENSMUSG00000060988
ENSMUST00000136642.2	Galnt13-205	ENSMUSG00000060988
ENSMUST00000068595.6	Galnt13-201	ENSMUSG00000060988
ENSMUST00000067101.10	Kcnj3-201	ENSMUSG00000026824
ENSMUST00000112633.3	Kcnj3-203	ENSMUSG00000026824
ENSMUST00000112632.2	Kcnj3-202	ENSMUSG00000026824
ENSMUST00000028166.9	Nr4a2-201	ENSMUSG00000026826
ENSMUST00000112629.8	Nr4a2-203	ENSMUSG00000026826
ENSMUST00000183542.8	Nr4a2-206	ENSMUSG00000026826
ENSMUST00000112627.2	Nr4a2-202	ENSMUSG00000026826
ENSMUST00000169687.8	Gpd2-207	ENSMUSG00000026827
ENSMUST00000112618.9	Gpd2-202	ENSMUSG00000026827
ENSMUST00000028167.3	Gpd2-201	ENSMUSG00000026827
ENSMUST00000112616.8	Galnt5-201	ENSMUSG00000026828
ENSMUST00000166729.2	Galnt5-203	ENSMUSG00000026828
ENSMUST00000090940.6	Ermn-201	ENSMUSG00000026830
ENSMUST00000028175.7	Cytip-201	ENSMUSG00000026832
ENSMUST00000028178.14	Acvr1c-201	ENSMUSG00000026834
ENSMUST00000100085.8	Acvr1c-202	ENSMUSG00000026834
ENSMUST00000112608.9	Acvr1c-204	ENSMUSG00000026834
ENSMUST00000112607.3	Acvr1c-203	ENSMUSG00000026834
ENSMUST00000154453.2	Acvr1c-205	ENSMUSG00000026834
ENSMUST00000112599.8	Acvr1-203	ENSMUSG00000026836
ENSMUST00000090935.9	Acvr1-202	ENSMUSG00000026836
ENSMUST00000112601.9	Acvr1-204	ENSMUSG00000026836
ENSMUST00000056376.12	Acvr1-201	ENSMUSG00000026836
ENSMUST00000126407.2	Acvr1-205	ENSMUSG00000026836
ENSMUST00000071543.12	Upp2-202	ENSMUSG00000026839
ENSMUST00000059102.13	Upp2-201	ENSMUSG00000026839
ENSMUST00000102755.4	Upp2-203	ENSMUSG00000026839
ENSMUST00000230627.2	Upp2-209	ENSMUSG00000026839
ENSMUST00000229923.2	Upp2-208	ENSMUSG00000026839
ENSMUST00000226455.2	Ccdc148-204	ENSMUSG00000036641
ENSMUST00000077687.6	Ccdc148-201	ENSMUSG00000036641
ENSMUST00000112589.3	Gm11099-201	ENSMUSG00000079353
ENSMUST00000168631.8	Pkp4-210	ENSMUSG00000026991
ENSMUST00000102754.11	Pkp4-202	ENSMUSG00000026991
ENSMUST00000183359.8	Pkp4-211	ENSMUSG00000026991
ENSMUST00000123908.8	Pkp4-205	ENSMUSG00000026991
ENSMUST00000037903.15	Pkp4-201	ENSMUSG00000026991
ENSMUST00000184332.8	Pkp4-213	ENSMUSG00000026991
ENSMUST00000184705.8	Pkp4-214	ENSMUSG00000026991
ENSMUST00000112577.8	Pkp4-203	ENSMUSG00000026991
ENSMUST00000028369.6	Dapl1-201	ENSMUSG00000026989
ENSMUST00000112568.8	Tanc1-203	ENSMUSG00000035168
ENSMUST00000037526.11	Tanc1-201	ENSMUSG00000035168
ENSMUST00000139863.3	Tanc1-208	ENSMUSG00000035168
ENSMUST00000028368.14	Wdsub1-201	ENSMUSG00000026988
ENSMUST00000102751.9	Wdsub1-202	ENSMUSG00000026988
ENSMUST00000139689.8	Wdsub1-208	ENSMUSG00000026988
ENSMUST00000133809.3	Wdsub1-206	ENSMUSG00000026988
ENSMUST00000140475.3	Wdsub1-209	ENSMUSG00000026988
ENSMUST00000128671.2	Wdsub1-204	ENSMUSG00000026988
ENSMUST00000112550.8	Baz2b-202	ENSMUSG00000026987
ENSMUST00000090925.13	Baz2b-201	ENSMUSG00000026987
ENSMUST00000130637.2	Baz2b-204	ENSMUSG00000026987
ENSMUST00000153136.2	Baz2b-213	ENSMUSG00000026987
ENSMUST00000102748.11	Marchf7-203	ENSMUSG00000026977
ENSMUST00000102747.8	Marchf7-202	ENSMUSG00000026977
ENSMUST00000067542.15	Marchf7-201	ENSMUSG00000026977
ENSMUST00000142485.2	Marchf7-208	ENSMUSG00000026977
ENSMUST00000028356.9	Cd302-201	ENSMUSG00000060703
ENSMUST00000074606.11	Cd302-202	ENSMUSG00000060703
ENSMUST00000112533.8	Ly75-202	ENSMUSG00000026980
ENSMUST00000028362.9	Ly75-201	ENSMUSG00000026980
ENSMUST00000112525.5	Pla2r1-201	ENSMUSG00000054580
ENSMUST00000059888.15	Itgb6-202	ENSMUSG00000026971
ENSMUST00000028348.9	Itgb6-201	ENSMUSG00000026971
ENSMUST00000112517.8	Itgb6-203	ENSMUSG00000026971
ENSMUST00000154764.2	Itgb6-209	ENSMUSG00000026971
ENSMUST00000028347.13	Rbms1-201	ENSMUSG00000026970
ENSMUST00000164147.8	Rbms1-209	ENSMUSG00000026970
ENSMUST00000112509.2	Rbms1-202	ENSMUSG00000026970
ENSMUST00000112502.8	Tank-205	ENSMUSG00000064289
ENSMUST00000078074.9	Tank-201	ENSMUSG00000064289
ENSMUST00000112495.8	Tank-203	ENSMUSG00000064289
ENSMUST00000112501.9	Tank-204	ENSMUSG00000064289
ENSMUST00000112494.2	Tank-202	ENSMUSG00000064289
ENSMUST00000028278.14	Psmd14-201	ENSMUSG00000026914
ENSMUST00000048934.15	Tbr1-201	ENSMUSG00000035033
ENSMUST00000102737.5	Tbr1-202	ENSMUSG00000035033
ENSMUST00000102735.10	Slc4a10-202	ENSMUSG00000026904
ENSMUST00000054484.15	Slc4a10-201	ENSMUSG00000026904
ENSMUST00000112480.3	Slc4a10-203	ENSMUSG00000026904
ENSMUST00000047812.8	Dpp4-201	ENSMUSG00000035000
ENSMUST00000102733.10	Gcg-201	ENSMUSG00000000394
ENSMUST00000136686.2	Gcg-202	ENSMUSG00000000394
ENSMUST00000102732.10	Fap-202	ENSMUSG00000000392
ENSMUST00000128139.3	Fap-203	ENSMUSG00000000392
ENSMUST00000174234.8	Fap-208	ENSMUSG00000000392
ENSMUST00000000402.16	Fap-201	ENSMUSG00000000392
ENSMUST00000174448.8	Fap-209	ENSMUSG00000000392
ENSMUST00000173745.2	Fap-207	ENSMUSG00000000392
ENSMUST00000028259.12	Ifih1-201	ENSMUSG00000026896
ENSMUST00000112459.4	Ifih1-202	ENSMUSG00000026896
ENSMUST00000028257.3	Gca-201	ENSMUSG00000026893
ENSMUST00000075052.10	Kcnh7-201	ENSMUSG00000059742
ENSMUST00000112454.8	Kcnh7-203	ENSMUSG00000059742
ENSMUST00000112452.2	Kcnh7-202	ENSMUSG00000059742
ENSMUST00000131615.9	Fign-203	ENSMUSG00000075324
ENSMUST00000102728.4	Fign-201	ENSMUSG00000075324
ENSMUST00000149193.8	Grb14-206	ENSMUSG00000026888
ENSMUST00000150643.8	Grb14-207	ENSMUSG00000026888
ENSMUST00000028252.14	Grb14-201	ENSMUSG00000026888
ENSMUST00000156765.2	Grb14-208	ENSMUSG00000026888
ENSMUST00000112429.9	Cobll1-203	ENSMUSG00000034903
ENSMUST00000090896.10	Cobll1-201	ENSMUSG00000034903
ENSMUST00000102726.8	Cobll1-202	ENSMUSG00000034903
ENSMUST00000112430.8	Cobll1-204	ENSMUSG00000034903
ENSMUST00000112431.8	Cobll1-205	ENSMUSG00000034903
ENSMUST00000155916.8	Cobll1-212	ENSMUSG00000034903
ENSMUST00000156643.2	Cobll1-213	ENSMUSG00000034903
ENSMUST00000155082.2	Cobll1-210	ENSMUSG00000034903
ENSMUST00000127623.8	Slc38a11-203	ENSMUSG00000061171
ENSMUST00000112420.8	Slc38a11-201	ENSMUSG00000061171
ENSMUST00000124918.8	Slc38a11-202	ENSMUSG00000061171
ENSMUST00000152324.8	Slc38a11-206	ENSMUSG00000061171
ENSMUST00000155962.3	Slc38a11-208	ENSMUSG00000061171
ENSMUST00000066432.12	Scn3a-201	ENSMUSG00000057182
ENSMUST00000100069.9	Scn3a-202	ENSMUSG00000057182
ENSMUST00000238409.2	Scn3a-205	ENSMUSG00000057182
ENSMUST00000238417.2	Scn3a-206	ENSMUSG00000057182
ENSMUST00000238512.2	Scn3a-208	ENSMUSG00000057182
ENSMUST00000238483.2	Scn3a-207	ENSMUSG00000057182
ENSMUST00000126837.2	Scn3a-203	ENSMUSG00000057182
ENSMUST00000144254.6	Scn2a-204	ENSMUSG00000075318
ENSMUST00000028377.14	Scn2a-201	ENSMUSG00000075318
ENSMUST00000200829.4	Scn2a-205	ENSMUSG00000075318
ENSMUST00000100067.7	Scn2a-202	ENSMUSG00000075318
ENSMUST00000239325.2	Scn2a-210	ENSMUSG00000075318
ENSMUST00000202508.4	Scn2a-208	ENSMUSG00000075318
ENSMUST00000202162.2	Scn2a-207	ENSMUSG00000075318
ENSMUST00000122912.8	Csrnp3-204	ENSMUSG00000044647
ENSMUST00000053910.10	Csrnp3-201	ENSMUSG00000044647
ENSMUST00000112397.3	Csrnp3-203	ENSMUSG00000044647
ENSMUST00000176109.8	Csrnp3-208	ENSMUSG00000044647
ENSMUST00000145598.9	Csrnp3-207	ENSMUSG00000044647
ENSMUST00000112394.2	Csrnp3-202	ENSMUSG00000044647
ENSMUST00000028378.4	Galnt3-201	ENSMUSG00000026994
ENSMUST00000102718.10	Ttc21b-201	ENSMUSG00000034848
ENSMUST00000125446.3	Ttc21b-202	ENSMUSG00000034848
ENSMUST00000200839.4	Scn1a-208	ENSMUSG00000064329
ENSMUST00000112366.8	Scn1a-203	ENSMUSG00000064329
ENSMUST00000112371.9	Scn1a-204	ENSMUSG00000064329
ENSMUST00000077489.12	Scn1a-201	ENSMUSG00000064329
ENSMUST00000094951.10	Scn1a-202	ENSMUSG00000064329
ENSMUST00000156865.3	Scn1a-207	ENSMUSG00000064329
ENSMUST00000138910.3	Scn1a-206	ENSMUSG00000064329
ENSMUST00000100064.9	Scn9a-202	ENSMUSG00000075316
ENSMUST00000100063.9	Scn9a-201	ENSMUSG00000075316
ENSMUST00000164384.9	Scn9a-206	ENSMUSG00000075316
ENSMUST00000169900.8	Scn9a-207	ENSMUSG00000075316
ENSMUST00000112354.3	Scn9a-203	ENSMUSG00000075316
ENSMUST00000042792.7	Scn7a-201	ENSMUSG00000034810
ENSMUST00000239009.2	Xirp2-207	ENSMUSG00000027022
ENSMUST00000238912.2	Xirp2-205	ENSMUSG00000027022
ENSMUST00000239060.2	Xirp2-209	ENSMUSG00000027022
ENSMUST00000028410.4	Xirp2-201	ENSMUSG00000027022
ENSMUST00000112347.8	Xirp2-202	ENSMUSG00000027022
ENSMUST00000238878.2	Xirp2-204	ENSMUSG00000027022
ENSMUST00000239164.2	Xirp2-211	ENSMUSG00000027022
ENSMUST00000178898.2	Gm21830-201	ENSMUSG00000096240
ENSMUST00000180887.2	B3galt1-203	ENSMUSG00000034780
ENSMUST00000042456.4	B3galt1-201	ENSMUSG00000034780
ENSMUST00000112346.3	B3galt1-202	ENSMUSG00000034780
ENSMUST00000102715.4	Stk39-201	ENSMUSG00000027030
ENSMUST00000102713.11	4933409G03Rik-201	ENSMUSG00000053896
ENSMUST00000137117.2	4933409G03Rik-202	ENSMUSG00000053896
ENSMUST00000125621.2	4932414N04Rik-203	ENSMUSG00000079324
ENSMUST00000128259.9	4932414N04Rik-204	ENSMUSG00000079324
ENSMUST00000055930.6	4932414N04Rik-201	ENSMUSG00000079324
ENSMUST00000028426.9	Cers6-201	ENSMUSG00000027035
ENSMUST00000176018.2	Cers6-206	ENSMUSG00000027035
ENSMUST00000041865.8	Nostrin-201	ENSMUSG00000034738
ENSMUST00000112320.8	Spc25-202	ENSMUSG00000005233
ENSMUST00000127243.8	Spc25-204	ENSMUSG00000005233
ENSMUST00000005365.15	Spc25-201	ENSMUSG00000005233
ENSMUST00000167875.9	Spc25-209	ENSMUSG00000005233
ENSMUST00000149045.8	Spc25-205	ENSMUSG00000005233
ENSMUST00000149643.2	Spc25-207	ENSMUSG00000005233
ENSMUST00000005364.12	G6pc2-201	ENSMUSG00000005232
ENSMUST00000112317.3	G6pc2-202	ENSMUSG00000005232
ENSMUST00000102710.10	Abcb11-202	ENSMUSG00000027048
ENSMUST00000102709.8	Abcb11-201	ENSMUSG00000027048
ENSMUST00000180142.2	Abcb11-204	ENSMUSG00000027048
ENSMUST00000063690.4	Dhrs9-201	ENSMUSG00000027068
ENSMUST00000080953.12	Lrp2-201	ENSMUSG00000027070
ENSMUST00000100051.9	Lrp2-203	ENSMUSG00000027070
ENSMUST00000092551.5	Lrp2-202	ENSMUSG00000027070
ENSMUST00000134659.8	Bbs5-205	ENSMUSG00000063145
ENSMUST00000074963.9	Bbs5-201	ENSMUSG00000063145
ENSMUST00000112286.9	Bbs5-202	ENSMUSG00000063145
ENSMUST00000127806.2	Bbs5-203	ENSMUSG00000063145
ENSMUST00000100050.4	Klhl41-201	ENSMUSG00000075307
ENSMUST00000073152.13	Fastkd1-201	ENSMUSG00000027086
ENSMUST00000102706.4	Fastkd1-202	ENSMUSG00000027086
ENSMUST00000090858.10	Ppig-202	ENSMUSG00000042133
ENSMUST00000040915.15	Ppig-201	ENSMUSG00000042133
ENSMUST00000144652.2	Ppig-210	ENSMUSG00000042133
ENSMUST00000094942.4	Ccdc173-201	ENSMUSG00000070883
ENSMUST00000151298.8	Phospho2-205	ENSMUSG00000027088
ENSMUST00000028494.9	Phospho2-201	ENSMUSG00000027088
ENSMUST00000112266.8	Phospho2-202	ENSMUSG00000027088
ENSMUST00000180290.2	Phospho2-206	ENSMUSG00000027088
ENSMUST00000053087.4	Klhl23-201	ENSMUSG00000042155
ENSMUST00000090852.11	Ssb-201	ENSMUSG00000068882
ENSMUST00000166411.8	Ssb-206	ENSMUSG00000068882
ENSMUST00000132186.8	Ssb-203	ENSMUSG00000068882
ENSMUST00000112260.3	Ssb-202	ENSMUSG00000068882
ENSMUST00000132603.2	Ssb-204	ENSMUSG00000068882
ENSMUST00000060447.13	Mettl5-201	ENSMUSG00000051730
ENSMUST00000142127.8	Mettl5-204	ENSMUSG00000051730
ENSMUST00000055758.16	Ubr3-201	ENSMUSG00000044308
ENSMUST00000112251.9	Ubr3-202	ENSMUSG00000044308
ENSMUST00000131553.2	Ubr3-206	ENSMUSG00000044308
ENSMUST00000152610.2	Ubr3-210	ENSMUSG00000044308
ENSMUST00000060208.11	Myo3b-201	ENSMUSG00000042064
ENSMUST00000112243.8	Myo3b-203	ENSMUSG00000042064
ENSMUST00000112241.2	Myo3b-202	ENSMUSG00000042064
ENSMUST00000100043.3	Sp5-201	ENSMUSG00000075304
ENSMUST00000100041.9	Erich2-201	ENSMUSG00000075302
ENSMUST00000134607.8	Erich2-203	ENSMUSG00000075302
ENSMUST00000153121.2	Erich2-205	ENSMUSG00000075302
ENSMUST00000130618.8	Gad1-204	ENSMUSG00000070880
ENSMUST00000130604.8	Gad1-203	ENSMUSG00000070880
ENSMUST00000094934.11	Gad1-201	ENSMUSG00000070880
ENSMUST00000148210.8	Gad1-207	ENSMUSG00000070880
ENSMUST00000130998.8	Gad1-205	ENSMUSG00000070880
ENSMUST00000123330.3	Gad1-202	ENSMUSG00000070880
ENSMUST00000112201.8	Gorasp2-202	ENSMUSG00000014959
ENSMUST00000028509.11	Gorasp2-201	ENSMUSG00000014959
ENSMUST00000133432.8	Gorasp2-205	ENSMUSG00000014959
ENSMUST00000112205.2	Gorasp2-203	ENSMUSG00000014959
ENSMUST00000038584.9	Tlk1-201	ENSMUSG00000041997
ENSMUST00000100037.9	Mettl8-202	ENSMUSG00000041975
ENSMUST00000112179.9	Mettl8-203	ENSMUSG00000041975
ENSMUST00000148876.8	Mettl8-210	ENSMUSG00000041975
ENSMUST00000112186.9	Mettl8-204	ENSMUSG00000041975
ENSMUST00000121586.8	Mettl8-205	ENSMUSG00000041975
ENSMUST00000140293.2	Mettl8-209	ENSMUSG00000041975
